id,ticker,strategy,universe,direction,entry_date,entry_price,shares,stop_price,take_profit,exit_date,exit_price,exit_reason,pnl,pnl_pct,mae,mfe,hold_days,confidence,regime_at_entry,regime_at_exit,status,config_version,created_at,updated_at,stop_order_id,tp_order_id
85,ADBE,opening_gap,sp500,long,2026-03-16,248.0,2,,,2026-03-18,250.35,trailing_stop,4.7,0.95,-1.3387,4.3629,2,0.8761,bull_risk_on,bull_risk_on,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
86,DHR,mean_reversion,sp500,long,2026-03-13,186.25,1,,,2026-03-19,188.69,trailing_stop,2.44,1.31,-0.6872,5.4013,6,0.8795,transition_uncertain,bull_risk_on,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
87,HCA,connors_rsi2,sp500,long,2026-03-18,509.8,2,,,2026-03-19,496.5994,trailing_stop,-26.4,-2.59,-2.7403,0.7415,1,,bull_risk_on,bull_risk_on,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
88,ULTA,opening_gap,sp500,long,2026-03-16,532.92,1,,,2026-03-20,533.57,signal,0.65,0.12,-3.1543,1.7592,4,0.9361,bull_risk_on,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
89,BKR,connors_rsi2,sp500,long,2026-03-16,54.27,11,,,2026-03-20,60.83,signal,72.16,12.09,-0.7002,12.9169,4,0.982,bull_risk_on,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
90,OXY,momentum_breakout,sp500,long,2026-03-13,57.63,2,,,2026-03-23,58.44,trailing_stop,1.62,1.41,-1.5096,6.481,10,1.0,transition_uncertain,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
91,NOW,trend_following,sp500,long,2026-03-18,114.97,3,,,2026-03-24,108.4551,trailing_stop,-19.54,-5.67,-9.2546,2.1223,6,,bull_risk_on,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
92,D,mean_reversion,sp500,long,2026-03-25,59.38,13,,,2026-03-24,62.54,stop_loss,41.08,5.32,,,0,,transition_uncertain,transition_uncertain,error,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
93,ECL,connors_rsi2,sp500,long,2026-03-25,257.03,4,,,2026-03-24,261.82,stop_loss,19.16,1.86,,,0,,transition_uncertain,transition_uncertain,error,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
94,NOC,connors_rsi2,sp500,long,2026-03-25,670.0,1,,,2026-03-24,677.75,stop_loss,7.75,1.16,,,0,0.916,transition_uncertain,transition_uncertain,error,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
96,WM,short_term_mr,sp500,long,2026-03-25,226.28,2,,,2026-03-25,220.66,stop_loss,-11.24,-2.48,-2.9698,-0.4198,0,0.7468,transition_uncertain,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
97,CVX,momentum_breakout,sp500,long,2026-03-28,205.32,3,,,2026-03-27,206.65,stop_loss,3.99,0.65,,,0,,bear_risk_off,bear_risk_off,error,v3.0,2026-03-31 13:57:26,2026-04-08 00:03:52,,
98,MSFT,connors_rsi2,sp500,long,2026-03-27,361.88,1,,,2026-03-30,358.99,broker_trailing_stop,-2.89,-0.8,-1.5447,0.9534,3,0.969,bear_risk_off,bear_risk_off,closed,v3.0,2026-03-31 13:57:26,2026-04-08 00:07:42,,
99,AMT,mean_reversion,sp500,long,2026-03-31,167.53,4,159.8,,2026-04-10T08:02:47.666610,179.8338,take_profit,49.21519999999998,7.344236853100934,1.3968,8.8342,10,,,transition_uncertain,closed,v3.0,2026-03-31 13:57:26,2026-04-10 13:45:03,,
