variant,ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,r_multiple,exit_reason,same_bar_stop
current,AMT,2024-01-03,2024-01-04,201.6208,199.2603,-1.1707,-1.0827,stop_hit,False
current,BDX,2024-01-03,2024-01-04,184.5422,182.4187,-1.1507,-1.3111,stop_hit,False
current,CB,2024-01-03,2024-01-04,222.6513,220.6396,-0.9035,-1.1189,stop_hit,False
current,COP,2024-01-04,2024-01-05,112.5763,108.6357,-3.5004,-3.213,stop_hit,False
current,CSCO,2024-01-04,2024-01-05,47.5037,47.1264,-0.7943,-1.0685,stop_hit,False
current,BMY,2024-01-03,2024-01-09,46.8034,45.977,-1.7657,-1.3217,stop_hit,False
current,C,2024-01-03,2024-01-11,49.4147,48.3558,-2.1429,-1.6326,stop_hit,False
current,AXP,2024-01-03,2024-01-12,181.5907,177.4512,-2.2796,-2.4141,stop_hit,False
current,AMZN,2024-01-12,2024-01-16,155.5077,153.0234,-1.5975,-1.3411,stop_hit,False
current,BRK-B,2024-01-03,2024-01-17,362.4111,358.9704,-0.9494,-1.4521,stop_hit,False
current,ABBV,2024-01-03,2024-01-18,147.8539,151.1144,2.2052,2.44,time_exit,False
current,AMGN,2024-01-03,2024-01-18,281.2205,284.1878,1.0551,1.0138,time_exit,False
current,BK,2024-01-03,2024-01-18,49.4547,51.4543,4.0432,4.4668,time_exit,False
current,ALL,2024-01-04,2024-01-19,140.9204,147.966,4.9997,5.1604,time_exit,False
current,ABT,2024-01-05,2024-01-22,105.3827,109.1054,3.5326,4.7078,time_exit,False
current,BSX,2024-01-05,2024-01-22,58.2291,60.6996,4.2428,5.049,time_exit,False
current,ABT,2024-01-22,2024-01-23,109.9249,108.9355,-0.9001,-1.3674,stop_hit,False
current,ADP,2024-01-09,2024-01-24,223.3316,226.2468,1.3053,1.7663,time_exit,False
current,ADI,2024-01-24,2024-01-25,193.9169,190.1149,-1.9606,-1.5857,stop_hit,False
current,COST,2024-01-11,2024-01-26,663.8418,676.9514,1.9748,1.9269,time_exit,False
current,AAPL,2024-01-23,2024-01-26,193.2166,190.2948,-1.5122,-1.367,stop_hit,False
current,AMAT,2024-01-25,2024-01-26,173.7568,163.6181,-5.835,-3.7674,stop_hit,False
current,AON,2024-01-18,2024-01-29,297.4687,293.5032,-1.3331,-1.0964,stop_hit,False
current,ACN,2024-01-16,2024-01-31,340.7203,351.1443,3.0594,3.0645,time_exit,False
current,CB,2024-01-18,2024-01-31,220.8604,236.5554,7.1063,9.1353,take_profit,False
current,AMZN,2024-01-26,2024-01-31,158.5492,155.0524,-2.2055,-1.7831,stop_hit,False
current,AMD,2024-01-17,2024-02-01,158.5292,170.4947,7.5478,3.6166,time_exit,False
current,CL,2024-01-18,2024-02-01,75.958,80.9641,6.5907,9.085,take_profit,False
current,BAC,2024-01-31,2024-02-01,32.7764,31.7841,-3.0274,-2.314,stop_hit,False
current,ALL,2024-01-19,2024-02-05,147.8039,149.885,1.4081,1.4837,time_exit,False
current,ABBV,2024-01-22,2024-02-06,152.3361,160.4098,5.2999,6.5909,time_exit,False
current,ADBE,2024-01-26,2024-02-06,620.5601,606.8814,-2.2043,-1.6998,stop_hit,False
current,AMGN,2024-01-29,2024-02-07,290.2851,276.2018,-4.8515,-4.3131,stop_hit,False
current,AZO,2024-01-31,2024-02-08,2807.463,2731.0338,-2.7224,-3.0934,stop_hit,False
current,APH,2024-01-26,2024-02-12,49.5948,51.5142,3.8703,3.7959,time_exit,False
current,AMAT,2024-02-12,2024-02-13,181.7908,176.8215,-2.7335,-1.5206,stop_hit,False
current,AXP,2024-01-31,2024-02-15,197.8089,207.2163,4.7558,3.9659,time_exit,False
current,ADP,2024-02-01,2024-02-16,232.9864,240.0699,3.0403,3.6558,time_exit,False
current,BSX,2024-02-01,2024-02-16,64.4022,65.7721,2.1271,2.4596,time_exit,False
current,CB,2024-02-01,2024-02-16,237.6588,243.4382,2.4318,2.8205,time_exit,False
current,AVGO,2024-02-08,2024-02-16,123.7518,121.4293,-1.8768,-1.1218,stop_hit,False
current,AMZN,2024-02-05,2024-02-20,170.085,167.0164,-1.8041,-1.3325,stop_hit,False
current,ALL,2024-02-16,2024-02-20,155.5978,152.5537,-1.9564,-1.8007,stop_hit,False
current,ABBV,2024-02-06,2024-02-21,158.4192,162.0889,2.3165,2.3081,time_exit,False
current,BKNG,2024-02-06,2024-02-21,142.8514,146.9965,2.9017,2.7644,time_exit,False
current,BRK-B,2024-02-07,2024-02-22,394.7973,415.6321,5.2773,6.7388,time_exit,False
current,BDX,2024-02-22,2024-02-26,184.2321,181.5592,-1.4508,-1.2351,stop_hit,False
current,CVX,2024-02-20,2024-02-27,141.9309,139.5502,-1.6774,-1.4223,stop_hit,False
current,BLK,2024-02-13,2024-02-28,749.9848,770.0548,2.6761,3.0532,time_exit,False
current,CI,2024-02-20,2024-02-28,327.4436,321.2593,-1.8887,-1.543,stop_hit,False
current,ABBV,2024-02-26,2024-02-29,165.3927,162.7786,-1.5805,-1.4513,stop_hit,False
current,AMAT,2024-02-15,2024-03-01,185.5127,206.5267,11.3275,6.4494,time_exit,False
current,ADP,2024-02-16,2024-03-04,239.0195,233.6031,-2.2661,-2.7101,stop_hit,False
current,AEP,2024-02-16,2024-03-04,75.5778,79.1004,4.661,3.9204,time_exit,False
current,AON,2024-02-16,2024-03-04,309.0745,311.2043,0.6891,0.6428,time_exit,False
current,ALB,2024-02-28,2024-03-05,125.5027,105.5172,-15.9244,-5.7817,stop_hit,False
current,ADI,2024-03-04,2024-03-05,189.7748,183.818,-3.1389,-2.4393,stop_hit,False
current,AMAT,2024-03-04,2024-03-05,208.5842,203.7181,-2.3329,-1.0831,stop_hit,False
current,AVGO,2024-03-05,2024-03-06,135.7178,131.6741,-2.9795,-1.7828,stop_hit,False
current,ABT,2024-02-21,2024-03-07,111.9459,115.5822,3.2482,3.0841,time_exit,False
current,BMY,2024-02-21,2024-03-07,44.8524,47.7561,6.4739,4.789,time_exit,False
current,AMAT,2024-03-07,2024-03-08,209.6348,201.889,-3.6949,-1.7081,stop_hit,False
current,ACN,2024-02-27,2024-03-11,364.092,360.1298,-1.0882,-1.0591,stop_hit,False
current,BLK,2024-03-11,2024-03-13,800.1499,791.2342,-1.1143,-1.1524,stop_hit,False
current,AXP,2024-02-28,2024-03-14,211.6758,214.9025,1.5244,1.6402,time_exit,False
current,AMD,2024-03-01,2024-03-14,198.009,187.3413,-5.3875,-2.1645,stop_hit,False
current,ABT,2024-03-08,2024-03-14,115.5277,113.6332,-1.6399,-1.6832,stop_hit,False
current,APH,2024-02-29,2024-03-15,53.4267,53.6532,0.4239,0.5762,time_exit,False
current,AMT,2024-03-04,2024-03-15,186.133,182.3988,-2.0062,-1.4431,stop_hit,False
current,ADBE,2024-03-13,2024-03-15,580.1499,492.2937,-15.1437,-8.357,stop_hit,False
current,C,2024-03-14,2024-03-15,54.7674,54.013,-1.3774,-1.2487,stop_hit,False
current,AMZN,2024-03-15,2024-03-18,177.0785,174.3428,-1.5449,-1.2837,stop_hit,False
current,APD,2024-03-05,2024-03-20,224.6022,225.1874,0.2605,0.2218,time_exit,False
current,AZO,2024-03-05,2024-03-20,3082.5605,3185.9462,3.3539,3.026,time_exit,False
current,ABBV,2024-03-06,2024-03-20,165.5127,163.0584,-1.4828,-1.5608,stop_hit,False
current,BAC,2024-03-07,2024-03-22,33.937,35.3423,4.1411,3.1439,time_exit,False
current,ADP,2024-03-22,2024-03-25,239.0395,233.1334,-2.4708,-3.1068,stop_hit,False
current,CMG,2024-03-15,2024-03-26,54.4872,58.5246,7.4098,9.1618,take_profit,False
current,ALL,2024-03-14,2024-04-01,153.5667,165.8171,7.9772,8.5046,time_exit,False
current,BKR,2024-03-14,2024-04-01,30.4152,31.8841,4.8293,4.1562,time_exit,False
current,CAT,2024-03-15,2024-04-01,333.3266,352.5436,5.7652,5.6562,time_exit,False
current,CI,2024-03-15,2024-04-01,335.9079,350.4047,4.3157,4.7381,time_exit,False
current,COP,2024-03-18,2024-04-02,113.7769,122.7286,7.8678,7.0089,time_exit,False
current,AMGN,2024-03-26,2024-04-02,265.8629,259.6401,-2.3406,-2.0216,stop_hit,False
current,AEP,2024-04-01,2024-04-02,80.2601,79.3803,-1.0962,-1.1013,stop_hit,False
current,ALB,2024-04-01,2024-04-02,128.2041,122.019,-4.8244,-1.5071,stop_hit,False
current,ABBV,2024-04-01,2024-04-03,168.4942,164.1179,-2.5973,-2.8656,stop_hit,False
current,ADP,2024-04-01,2024-04-03,238.2991,234.0029,-1.8028,-2.3043,stop_hit,False
current,C,2024-04-02,2024-04-03,58.9495,57.8311,-1.8972,-1.6804,stop_hit,False
current,AON,2024-03-20,2024-04-04,317.7688,310.2348,-2.3709,-3.7876,stop_hit,False
current,AZO,2024-03-20,2024-04-04,3168.4234,3091.4335,-2.4299,-2.5143,stop_hit,False
current,BDX,2024-03-20,2024-04-04,181.0305,183.3683,1.2914,1.3959,time_exit,False
current,DIS,2024-04-03,2024-04-04,120.12,114.7626,-4.4601,-3.99,stop_hit,False
current,AVGO,2024-04-04,2024-04-05,136.028,131.0744,-3.6416,-1.7359,stop_hit,False
current,BK,2024-04-04,2024-04-05,55.1976,53.873,-2.3996,-2.85,stop_hit,False
current,APH,2024-04-04,2024-04-08,58.1591,57.3513,-1.3889,-1.3325,stop_hit,False
current,AMZN,2024-03-25,2024-04-09,178.039,185.6071,4.2509,3.5274,time_exit,False
current,ALL,2024-04-04,2024-04-09,167.3236,161.7491,-3.3316,-3.3682,stop_hit,False
current,APH,2024-04-08,2024-04-09,58.2491,56.5417,-2.9312,-2.6228,stop_hit,False
current,DOW,2024-04-03,2024-04-10,52.5663,51.914,-1.2408,-1.2033,stop_hit,False
current,ALB,2024-04-09,2024-04-10,128.6543,123.2184,-4.2252,-1.6323,stop_hit,False
current,CI,2024-04-02,2024-04-11,346.6332,339.7301,-1.9915,-2.5269,stop_hit,False
current,ADP,2024-04-10,2024-04-11,237.1585,233.3533,-1.6045,-1.6937,stop_hit,False
current,BKR,2024-04-05,2024-04-12,32.3061,31.5542,-2.3275,-2.1933,stop_hit,False
current,BSX,2024-04-09,2024-04-12,68.8344,68.051,-1.1382,-1.3065,stop_hit,False
current,ADI,2024-04-10,2024-04-12,194.3471,186.2168,-4.1834,-2.9152,stop_hit,False
current,FSLR,2024-04-11,2024-04-12,187.3836,182.4287,-2.6443,-1.3501,stop_hit,False
current,CVX,2024-04-02,2024-04-15,146.8934,144.4777,-1.6445,-1.9072,stop_hit,False
current,EOG,2024-04-05,2024-04-15,125.2026,123.998,-0.9621,-1.0561,stop_hit,False
current,AMZN,2024-04-09,2024-04-15,187.3336,183.5382,-2.026,-1.8588,stop_hit,False
current,CMG,2024-04-11,2024-04-15,59.5998,58.7806,-1.3745,-1.2265,stop_hit,False
current,AVGO,2024-04-12,2024-04-15,132.9064,128.4158,-3.3788,-1.6247,stop_hit,False
current,BSX,2024-04-12,2024-04-15,68.2641,67.4463,-1.1981,-1.5035,stop_hit,False
current,AAPL,2024-04-12,2024-04-16,172.9064,167.7261,-2.996,-2.5562,stop_hit,False
current,COP,2024-04-02,2024-04-17,121.9309,120.5297,-1.1492,-1.2237,stop_hit,False
current,AMAT,2024-04-12,2024-04-17,204.7423,196.3918,-4.0786,-2.5014,stop_hit,False
current,DVN,2024-04-03,2024-04-18,49.2646,48.8156,-0.9115,-0.936,time_exit,False
current,SH,2024-04-15,2024-04-30,44.092,45.2873,2.7109,4.6716,time_exit,False
current,NKE,2024-04-18,2024-04-30,91.2256,88.3058,-3.2006,-2.1197,stop_hit,False
current,PSQ,2024-04-16,2024-05-01,40.8404,41.7691,2.274,2.81,time_exit,False
current,ELV,2024-04-19,2024-05-01,513.8268,505.2872,-1.662,-1.5045,stop_hit,False
current,APH,2024-04-30,2024-05-01,60.13,58.6707,-2.4271,-1.6804,stop_hit,False
current,SCHW,2024-04-17,2024-05-02,71.7459,73.3333,2.2126,1.7185,time_exit,False
current,AMGN,2024-04-30,2024-05-03,259.1495,287.4157,10.9073,9.3663,take_profit,False
current,ADP,2024-05-02,2024-05-03,235.4177,230.8945,-1.9213,-2.0844,stop_hit,False
current,LMT,2024-04-19,2024-05-06,435.1174,438.4807,0.7729,1.0012,time_exit,False
current,WFC,2024-04-19,2024-05-06,56.4382,57.4912,1.8658,1.5779,time_exit,False
current,AMGN,2024-05-03,2024-05-06,295.7578,281.4992,-4.821,-4.9786,stop_hit,False
current,AXP,2024-04-22,2024-05-07,227.5637,229.4052,0.8092,0.6947,time_exit,False
current,D,2024-04-22,2024-05-07,45.2826,47.4563,4.8001,3.4285,time_exit,False
current,DUK,2024-04-22,2024-05-07,91.1556,95.0225,4.2421,4.2475,time_exit,False
current,ADBE,2024-05-06,2024-05-14,488.3941,475.4122,-2.6581,-2.0082,stop_hit,False
current,CL,2024-05-01,2024-05-16,87.3336,90.2349,3.322,4.1867,time_exit,False
current,ECL,2024-05-01,2024-05-16,221.9909,227.886,2.6555,2.86,time_exit,False
current,HSY,2024-05-01,2024-05-16,181.5207,197.2113,8.644,7.7094,time_exit,False
current,AMZN,2024-05-07,2024-05-16,189.0145,183.5382,-2.8973,-1.6763,stop_hit,False
current,AMAT,2024-05-16,2024-05-17,214.6873,208.3958,-2.9306,-1.9789,stop_hit,False
current,AVGO,2024-05-16,2024-05-17,140.11,136.6317,-2.4826,-1.4034,stop_hit,False
current,AEP,2024-05-03,2024-05-20,83.0215,87.0664,4.8722,3.7863,time_exit,False
current,AAPL,2024-05-06,2024-05-21,180.8304,190.7946,5.5102,3.7281,time_exit,False
current,ALB,2024-05-06,2024-05-21,126.2931,122.2189,-3.226,-1.2651,stop_hit,False
current,ABBV,2024-05-17,2024-05-21,154.2571,152.1839,-1.344,-1.1594,stop_hit,False
current,APD,2024-05-07,2024-05-22,235.5677,251.2743,6.6675,5.8806,time_exit,False
current,APH,2024-05-07,2024-05-22,61.5207,66.1969,7.6009,5.6465,time_exit,False
current,ADI,2024-05-14,2024-05-22,202.7813,228.0206,12.4465,9.4214,take_profit,False
current,AMGN,2024-05-16,2024-05-22,298.5392,292.7935,-1.9246,-1.2132,stop_hit,False
current,AEP,2024-05-20,2024-05-22,87.2036,86.047,-1.3264,-1.2799,stop_hit,False
current,AMT,2024-05-16,2024-05-23,179.3496,174.0729,-2.9421,-2.1895,stop_hit,False
