timestamp	sharpe	trades	max_dd_pct	pf	cagr_pct	params_changed	status	description
2026-03-10T15:10:53	-1.8464	534	4.22	1.0482	0.44		keep	baseline
2026-03-10T15:12:56	-5.6513	57	1.02	2.0482	0.52	rsi_period=5	discard	rsi_period: 2→5
2026-03-10T15:12:56	-2.7701	291	4.37	0.9615	-0.15	rsi_period=3	discard	rsi_period: 2→3
2026-03-10T15:12:56	-3.8795	138	2.01	1.2896	0.45	rsi_period=4	discard	rsi_period: 2→4
2026-03-10T15:14:57	-1.6053	684	6.27	1.0782	0.75	rsi_entry=20	keep	rsi_entry: 10→20 (best of 3)
2026-03-10T15:14:57	-2.7213	378	6.18	0.8886	-0.48	rsi_entry=5	discard	rsi_entry: 10→5
2026-03-10T15:14:57	-1.7601	628	5.14	1.0495	0.49	rsi_entry=15	discard	rsi_entry: 10→15
2026-03-10T15:16:45	-1.3832	686	6.46	1.1477	1.33	sma_trend_period=150	keep	sma_trend_period: 200→150 (best of 2)
2026-03-10T15:16:45	-1.8492	650	7.10	0.9897	0.04	sma_trend_period=100	discard	sma_trend_period: 200→100
2026-03-10T15:19:03	-1.8678	750	11.42	0.9354	-0.51	sma200_filter=False	discard	sma200_filter: True→False
2026-03-10T15:21:39	-1.3587	679	6.38	1.1578	1.40	min_consecutive_down=1	keep	min_consecutive_down: 0→1 (best of 3)
2026-03-10T15:21:39	-2.0673	550	4.22	1.0096	0.22	min_consecutive_down=3	discard	min_consecutive_down: 0→3
2026-03-10T15:21:39	-1.7533	635	7.27	1.0523	0.52	min_consecutive_down=2	discard	min_consecutive_down: 0→2
2026-03-10T15:23:51	-1.3587	679	6.38	1.1578	1.40	ibs_max=0.7	discard	ibs_max: 0.5→0.7
2026-03-10T15:23:51	-1.3587	679	6.38	1.1578	1.40	ibs_max=0.3	discard	ibs_max: 0.5→0.3
2026-03-10T15:23:51	-1.3587	679	6.38	1.1578	1.40	ibs_max=1.0	discard	ibs_max: 0.5→1.0
2026-03-10T15:25:40	-0.5138	782	13.06	1.1081	2.06	atr_stop_mult=1.5	keep	atr_stop_mult: 3.0→1.5 (best of 3)
2026-03-10T15:25:40	-0.7891	724	10.85	1.1233	1.76	atr_stop_mult=2.0	discard	atr_stop_mult: 3.0→2.0
2026-03-10T15:25:40	-1.1222	701	8.27	1.1237	1.39	atr_stop_mult=2.5	discard	atr_stop_mult: 3.0→2.5
2026-03-10T15:27:27	-0.9502	862	12.94	0.9791	-0.32	max_hold_days=5	discard	max_hold_days: 10→5
2026-03-10T15:27:27	-0.5853	810	12.31	1.0826	1.65	max_hold_days=7	discard	max_hold_days: 10→7
2026-03-10T15:27:27	-1.2495	964	18.34	0.9042	-1.96	max_hold_days=3	discard	max_hold_days: 10→3
2026-03-10T15:46:21	-0.5138	782	13.06	1.1081	2.06		keep	baseline
2026-03-10T15:48:31	-0.6275	870	25.75	0.9790	-0.47	atr_stop_mult=1.0	discard	atr_stop_mult=1.0: tighter stop, less room
2026-03-10T15:50:28	-0.4613	832	19.54	1.0562	1.63	atr_stop_mult=1.2	keep	atr_stop_mult=1.2: between 1.0 and 1.5
2026-03-10T15:52:28	-0.6665	751	19.35	1.0055	0.33	exit_mode=rsi	discard	exit_mode=rsi: exit when RSI(2) > 65 instead of SMA cross
2026-03-10T15:54:29	-0.4612	835	18.90	1.0540	1.59	exit_mode=both	discard	exit_mode=both: exit on SMA cross OR RSI recovery (whichever first)
2026-03-10T15:56:33	-0.4461	874	21.82	1.0529	1.61	rsi_entry=25	keep	rsi_entry=25: wider entry, more trades
2026-03-10T15:58:34	-0.3681	901	19.58	1.0686	2.07	rsi_entry=30	keep	rsi_entry=30: even wider entry gate
2026-03-10T16:00:41	-0.1979	928	19.50	1.1062	3.24	rsi_entry=35	keep	rsi_entry=35: RSI<35 is still below midpoint
2026-03-10T16:02:48	-0.1459	947	18.96	1.1177	3.61	rsi_entry=40	keep	rsi_entry=40: still sub-50 for RSI(2)
2026-03-10T16:04:52	-0.1432	961	19.07	1.1160	3.62	rsi_entry=45	discard	rsi_entry=45: approaching midpoint
2026-03-10T16:07:00	-0.9438	1243	18.81	0.9394	-1.96	sma_exit_period=3	discard	sma_exit=3: faster exit, capture quick bounce
2026-03-10T16:09:05	-0.4754	812	20.19	1.0410	1.28	sma_exit_period=7	discard	sma_exit=7: give trades more room
2026-03-10T19:14:06	-0.1459	947	18.96	1.1177	3.61		keep	baseline
2026-03-10T19:15:52	0.3974	854	20.20	3.0609	47.34	rsi_period=4	keep	rsi_period: 2→4 (best of 3)
2026-03-10T19:15:52	-0.7743	800	18.78	0.9820	-0.45	rsi_period=5	discard	rsi_period: 2→5
2026-03-10T19:15:52	-0.5898	878	23.45	1.0164	0.63	rsi_period=3	discard	rsi_period: 2→3
2026-03-10T19:17:29	-1.3656	156	5.15	1.1733	0.88	rsi_entry=10	discard	rsi_entry: 40→10
2026-03-10T19:17:29	-2.7309	37	2.71	1.9190	0.84	rsi_entry=5	discard	rsi_entry: 40→5
2026-03-10T19:17:29	-0.9210	347	5.80	1.0504	0.61	rsi_entry=15	discard	rsi_entry: 40→15
2026-03-10T19:17:29	-0.9390	493	11.90	0.9990	-0.01	rsi_entry=20	discard	rsi_entry: 40→20
2026-03-10T19:19:16	0.3912	829	28.65	2.6681	43.88	sma_trend_period=100	discard	sma_trend_period: 150→100
2026-03-10T19:19:16	0.3960	863	21.36	2.7835	46.55	sma_trend_period=200	discard	sma_trend_period: 150→200
2026-03-10T19:21:34	0.4148	942	24.54	3.3421	55.51	sma200_filter=False	keep	sma200_filter: True→False (best of 1)
2026-03-10T19:23:52	-0.4540	803	14.04	1.0528	1.58	min_consecutive_down=3	discard	min_consecutive_down: 1→3
2026-03-10T19:23:52	0.3990	886	23.04	2.7870	48.26	min_consecutive_down=2	discard	min_consecutive_down: 1→2
2026-03-10T19:23:52	0.0541	977	29.25	1.1603	4.45	min_consecutive_down=0	discard	min_consecutive_down: 1→0
2026-03-10T19:26:09	0.4148	942	24.54	3.3421	55.51	ibs_max=0.7	discard	ibs_max: 0.5→0.7
2026-03-10T19:26:09	0.4148	942	24.54	3.3421	55.51	ibs_max=1.0	discard	ibs_max: 0.5→1.0
2026-03-10T19:26:09	0.4148	942	24.54	3.3421	55.51	ibs_max=0.3	discard	ibs_max: 0.5→0.3
2026-03-10T19:28:23	0.3997	796	10.97	4.0246	35.91	atr_stop_mult=2.5	discard	atr_stop_mult: 1.2→2.5
2026-03-10T19:28:23	0.4113	886	19.63	3.2987	48.48	atr_stop_mult=1.5	discard	atr_stop_mult: 1.2→1.5
2026-03-10T19:28:23	0.4058	833	12.82	3.7487	39.70	atr_stop_mult=2.0	discard	atr_stop_mult: 1.2→2.0
2026-03-10T19:28:23	0.3965	781	9.31	4.4136	31.79	atr_stop_mult=3.0	discard	atr_stop_mult: 1.2→3.0
2026-03-10T19:30:39	0.0979	1137	24.17	1.1838	5.34	max_hold_days=3	discard	max_hold_days: 10→3
2026-03-10T19:30:39	0.4220	1020	16.81	3.7477	60.19	max_hold_days=5	discard	max_hold_days: 10→5
2026-03-10T19:30:39	0.4191	964	21.34	3.5382	58.08	max_hold_days=7	discard	max_hold_days: 10→7
2026-03-11T00:30:43	0.4148	942	24.54	3.3421	55.51		keep	baseline
2026-03-11T00:33:10	0.1641	951	24.70	1.2440	6.76	rsi_period=3	discard	rsi_period: 4→3
2026-03-11T00:33:10	0.1253	907	26.50	1.2330	5.94	rsi_period=5	discard	rsi_period: 4→5
2026-03-11T00:33:10	-0.7013	951	27.43	0.9821	-0.52	rsi_period=2	discard	rsi_period: 4→2
2026-03-11T00:35:11	0.1616	560	19.25	1.4127	6.73	rsi_entry=15	discard	rsi_entry: 40→15
2026-03-11T00:35:11	-0.7939	359	12.83	1.0723	0.82	rsi_entry=10	discard	rsi_entry: 40→10
2026-03-11T00:35:11	-0.9476	121	5.85	1.5072	1.79	rsi_entry=5	discard	rsi_entry: 40→5
2026-03-11T00:35:11	0.1036	698	18.71	1.2630	5.49	rsi_entry=20	discard	rsi_entry: 40→20
2026-03-11T00:37:29	0.4148	942	24.54	3.3421	55.51	sma_trend_period=100	discard	sma_trend_period: 150→100
2026-03-11T00:37:29	0.4148	942	24.54	3.3421	55.51	sma_trend_period=200	discard	sma_trend_period: 150→200
2026-03-11T00:39:18	0.3974	854	20.20	3.0609	47.34	sma200_filter=True	discard	sma200_filter: False→True
2026-03-11T00:41:39	-0.4540	803	14.04	1.0528	1.58	min_consecutive_down=3	discard	min_consecutive_down: 1→3
2026-03-11T00:41:39	0.3990	886	23.04	2.7870	48.26	min_consecutive_down=2	discard	min_consecutive_down: 1→2
2026-03-11T00:41:39	0.0541	977	29.25	1.1603	4.45	min_consecutive_down=0	discard	min_consecutive_down: 1→0
2026-03-11T00:43:58	0.4148	942	24.54	3.3421	55.51	ibs_max=0.3	discard	ibs_max: 0.5→0.3
2026-03-11T00:43:58	0.4148	942	24.54	3.3421	55.51	ibs_max=1.0	discard	ibs_max: 0.5→1.0
2026-03-11T00:43:58	0.4148	942	24.54	3.3421	55.51	ibs_max=0.7	discard	ibs_max: 0.5→0.7
2026-03-11T00:46:27	0.3997	796	10.97	4.0246	35.91	atr_stop_mult=2.5	discard	atr_stop_mult: 1.2→2.5
2026-03-11T00:46:27	0.4113	886	19.63	3.2987	48.48	atr_stop_mult=1.5	discard	atr_stop_mult: 1.2→1.5
2026-03-11T00:46:27	0.4058	833	12.82	3.7487	39.70	atr_stop_mult=2.0	discard	atr_stop_mult: 1.2→2.0
2026-03-11T00:46:27	0.3965	781	9.31	4.4136	31.79	atr_stop_mult=3.0	discard	atr_stop_mult: 1.2→3.0
2026-03-11T00:48:54	0.0979	1137	24.17	1.1838	5.34	max_hold_days=3	discard	max_hold_days: 10→3
2026-03-11T00:48:54	0.4220	1020	16.81	3.7477	60.19	max_hold_days=5	discard	max_hold_days: 10→5
2026-03-11T00:48:54	0.4191	964	21.34	3.5382	58.08	max_hold_days=7	discard	max_hold_days: 10→7
2026-03-11T01:11:10	-1.3345	922	36.21	0.8453	-4.68		keep	baseline
2026-03-11T01:21:11	-0.0591	935	33.22	1.0921	2.15		keep	baseline
2026-03-11T01:25:46	0.4148	942	24.54	3.3421	55.51		keep	baseline
2026-03-11T01:28:26	0.4211	987	17.71	3.7219	59.50	max_hold_days=6	discard	max_hold_days=6: between 5 (0.4220) and 7 (0.4191)
2026-03-11T04:23:03	0.4148	942	24.54	3.3421	55.51		keep	baseline
2026-03-11T04:26:11	0.1253	907	26.50	1.2330	5.94	rsi_period=5	discard	rsi_period: 4→5
2026-03-11T04:26:11	0.1641	951	24.70	1.2440	6.76	rsi_period=3	discard	rsi_period: 4→3
2026-03-11T04:26:11	-0.7013	951	27.43	0.9821	-0.52	rsi_period=2	discard	rsi_period: 4→2
2026-03-11T04:29:09	-0.9476	121	5.85	1.5072	1.79	rsi_entry=5	discard	rsi_entry: 40→5
2026-03-11T04:29:09	-0.7939	359	12.83	1.0723	0.82	rsi_entry=10	discard	rsi_entry: 40→10
2026-03-11T04:29:09	0.1616	560	19.25	1.4127	6.73	rsi_entry=15	discard	rsi_entry: 40→15
2026-03-11T04:29:09	0.1036	698	18.71	1.2630	5.49	rsi_entry=20	discard	rsi_entry: 40→20
2026-03-11T04:31:44	0.4148	942	24.54	3.3421	55.51	sma_trend_period=200	discard	sma_trend_period: 150→200
2026-03-11T04:31:44	0.4148	942	24.54	3.3421	55.51	sma_trend_period=100	discard	sma_trend_period: 150→100
2026-03-11T04:33:37	0.3974	854	20.20	3.0609	47.34	sma200_filter=True	discard	sma200_filter: False→True
2026-03-11T05:43:41	0.4148	942	24.54	3.3421	55.51		keep	baseline
2026-03-11T05:47:20	0.1253	907	26.50	1.2330	5.94	rsi_period=5	discard	rsi_period: 4→5
2026-03-11T05:47:20	0.1641	951	24.70	1.2440	6.76	rsi_period=3	discard	rsi_period: 4→3
2026-03-11T05:47:20	-0.7013	951	27.43	0.9821	-0.52	rsi_period=2	discard	rsi_period: 4→2
2026-03-11T05:51:30	-0.7939	359	12.83	1.0723	0.82	rsi_entry=10	discard	rsi_entry: 40→10
2026-03-11T05:51:30	-0.9476	121	5.85	1.5072	1.79	rsi_entry=5	discard	rsi_entry: 40→5
2026-03-11T05:51:30	0.1616	560	19.25	1.4127	6.73	rsi_entry=15	discard	rsi_entry: 40→15
2026-03-11T05:51:30	0.1036	698	18.71	1.2630	5.49	rsi_entry=20	discard	rsi_entry: 40→20
2026-03-11T05:54:29	0.4148	942	24.54	3.3421	55.51	sma_trend_period=200	discard	sma_trend_period: 150→200
2026-03-11T05:54:29	0.4148	942	24.54	3.3421	55.51	sma_trend_period=100	discard	sma_trend_period: 150→100
2026-03-11T05:56:43	0.3974	854	20.20	3.0609	47.34	sma200_filter=True	discard	sma200_filter: False→True
2026-03-11T06:00:26	-0.4540	803	14.04	1.0528	1.58	min_consecutive_down=3	discard	min_consecutive_down: 1→3
2026-03-11T06:00:26	0.3990	886	23.04	2.7870	48.26	min_consecutive_down=2	discard	min_consecutive_down: 1→2
2026-03-11T06:00:26	0.0541	977	29.25	1.1603	4.45	min_consecutive_down=0	discard	min_consecutive_down: 1→0
2026-03-11T06:06:38	0.4148	942	24.54	3.3421	55.51	ibs_max=1.0	discard	ibs_max: 0.5→1.0
2026-03-11T06:06:38	0.4148	942	24.54	3.3421	55.51	ibs_max=0.7	discard	ibs_max: 0.5→0.7
2026-03-11T06:06:38	0.4148	942	24.54	3.3421	55.51	ibs_max=0.3	discard	ibs_max: 0.5→0.3
2026-03-11T06:17:05	0.4058	833	12.82	3.7487	39.70	atr_stop_mult=2.0	discard	atr_stop_mult: 1.2→2.0
2026-03-11T06:17:05	0.3997	796	10.97	4.0246	35.91	atr_stop_mult=2.5	discard	atr_stop_mult: 1.2→2.5
2026-03-11T06:17:05	0.3965	781	9.31	4.4136	31.79	atr_stop_mult=3.0	discard	atr_stop_mult: 1.2→3.0
2026-03-11T06:17:05	0.4113	886	19.63	3.2987	48.48	atr_stop_mult=1.5	discard	atr_stop_mult: 1.2→1.5
2026-03-11T06:21:07	0.4220	1020	16.81	3.7477	60.19	max_hold_days=5	discard	max_hold_days: 10→5
2026-03-11T06:21:07	0.4191	964	21.34	3.5382	58.08	max_hold_days=7	discard	max_hold_days: 10→7
2026-03-11T06:21:07	0.0979	1137	24.17	1.1838	5.34	max_hold_days=3	discard	max_hold_days: 10→3
2026-03-11T06:32:56	0.4148	942	24.54	3.3421	55.51		keep	baseline
2026-03-11T06:37:16	0.1253	907	26.50	1.2330	5.94	rsi_period=5	discard	rsi_period: 4→5
2026-03-11T06:37:16	0.1641	951	24.70	1.2440	6.76	rsi_period=3	discard	rsi_period: 4→3
2026-03-11T06:37:16	-0.7013	951	27.43	0.9821	-0.52	rsi_period=2	discard	rsi_period: 4→2
2026-03-11T08:45:08	0.4148	942	24.54	3.3421	55.51		keep	baseline
2026-03-11T08:52:58	0.1253	907	26.50	1.2330	5.94	rsi_period=5	discard	rsi_period: 4→5
2026-03-11T08:52:58	0.1641	951	24.70	1.2440	6.76	rsi_period=3	discard	rsi_period: 4→3
2026-03-11T08:52:58	-0.7013	951	27.43	0.9821	-0.52	rsi_period=2	discard	rsi_period: 4→2
2026-03-11T08:59:49	-0.9476	121	5.85	1.5072	1.79	rsi_entry=5	discard	rsi_entry: 40→5
2026-03-11T08:59:49	-0.7939	359	12.83	1.0723	0.82	rsi_entry=10	discard	rsi_entry: 40→10
2026-03-11T08:59:49	0.1616	560	19.25	1.4127	6.73	rsi_entry=15	discard	rsi_entry: 40→15
2026-03-11T08:59:49	0.1036	698	18.71	1.2630	5.49	rsi_entry=20	discard	rsi_entry: 40→20
2026-03-11T09:09:44	0.4148	942	24.54	3.3421	55.51	sma_trend_period=100	discard	sma_trend_period: 150→100
2026-03-11T09:09:44	0.4148	942	24.54	3.3421	55.51	sma_trend_period=200	discard	sma_trend_period: 150→200
2026-03-11T13:49:24	0.4195	911	23.46	3.8770	58.40		keep	baseline
2026-03-11T13:49:46	0.1639	913	23.08	1.2759	6.75	rsi_period=3	discard	rsi_period: 4→3
2026-03-11T13:49:46	0.0014	876	31.23	1.1421	3.47	rsi_period=5	discard	rsi_period: 4→5
2026-03-11T13:49:46	-0.4707	935	23.40	1.0416	1.11	rsi_period=2	discard	rsi_period: 4→2
2026-03-11T13:50:04	-0.9122	79	6.36	2.4569	2.37	rsi_entry=5	discard	rsi_entry: 40→5
2026-03-11T13:50:04	-0.4611	259	9.74	1.3581	2.76	rsi_entry=10	discard	rsi_entry: 40→10
2026-03-11T13:50:04	0.2266	458	11.01	1.6627	8.06	rsi_entry=15	discard	rsi_entry: 40→15
2026-03-11T13:50:04	0.0938	588	17.89	1.3114	5.30	rsi_entry=20	discard	rsi_entry: 40→20
2026-03-11T13:50:24	0.4195	911	23.46	3.8770	58.40	sma_trend_period=200	discard	sma_trend_period: 150→200
2026-03-11T13:50:24	0.4195	911	23.46	3.8770	58.40	sma_trend_period=100	discard	sma_trend_period: 150→100
2026-03-11T13:50:41	0.4038	807	19.63	3.5165	51.04	sma200_filter=True	discard	sma200_filter: False→True
2026-03-11T13:50:59	-0.3885	707	8.41	1.0946	2.30	min_consecutive_down=3	discard	min_consecutive_down: 1→3
2026-03-11T13:50:59	0.4167	815	27.02	4.0166	56.79	min_consecutive_down=2	discard	min_consecutive_down: 1→2
2026-03-11T13:50:59	0.1182	952	26.76	1.2321	5.79	min_consecutive_down=0	discard	min_consecutive_down: 1→0
2026-03-11T23:45:29	0.4195	911	23.46	3.8770	58.40		keep	baseline
2026-03-11T23:45:48	0.0014	876	31.23	1.1421	3.47	rsi_period=5	discard	rsi_period: 4→5
2026-03-11T23:45:48	0.1639	913	23.08	1.2759	6.75	rsi_period=3	discard	rsi_period: 4→3
2026-03-11T23:45:48	-0.4707	935	23.40	1.0416	1.11	rsi_period=2	discard	rsi_period: 4→2
2026-03-11T23:46:03	-0.4611	259	9.74	1.3581	2.76	rsi_entry=10	discard	rsi_entry: 40→10
2026-03-11T23:46:03	-0.9122	79	6.36	2.4569	2.37	rsi_entry=5	discard	rsi_entry: 40→5
2026-03-11T23:46:03	0.2266	458	11.01	1.6627	8.06	rsi_entry=15	discard	rsi_entry: 40→15
2026-03-11T23:46:03	0.0938	588	17.89	1.3114	5.30	rsi_entry=20	discard	rsi_entry: 40→20
2026-03-11T23:46:22	0.4195	911	23.46	3.8770	58.40	sma_trend_period=200	discard	sma_trend_period: 150→200
2026-03-11T23:46:22	0.4195	911	23.46	3.8770	58.40	sma_trend_period=100	discard	sma_trend_period: 150→100
2026-03-11T23:46:37	0.4038	807	19.63	3.5165	51.04	sma200_filter=True	discard	sma200_filter: False→True
2026-03-11T23:46:54	-0.3885	707	8.41	1.0946	2.30	min_consecutive_down=3	discard	min_consecutive_down: 1→3
2026-03-11T23:46:54	0.4167	815	27.02	4.0166	56.79	min_consecutive_down=2	discard	min_consecutive_down: 1→2
2026-03-11T23:46:54	0.1182	952	26.76	1.2321	5.79	min_consecutive_down=0	discard	min_consecutive_down: 1→0
2026-03-12T03:00:51	0.4117	915	17.24	3.5564	46.79		keep	baseline
2026-03-12T03:01:16	-0.0979	881	23.51	1.1607	2.79	rsi_period=5	discard	rsi_period: 4→5
2026-03-12T03:01:16	0.0244	913	17.34	1.2558	4.51	rsi_period=3	discard	rsi_period: 4→3
2026-03-12T03:01:16	0.0514	932	15.91	1.2664	4.90	rsi_period=2	discard	rsi_period: 4→2
