timestamp	sharpe	trades	max_dd_pct	pf	cagr_pct	params_changed	status	description
2026-03-11T11:44:50	0.0000	0	0.00	0.0000	0.00		keep	baseline
2026-03-11T11:48:18	0.0000	0	0.00	0.0000	0.00		keep	baseline
2026-03-11T12:16:24	-0.1090	93	1.23	4.9706	3.67		keep	baseline
2026-03-11T12:40:49	-0.1090	93	1.23	4.9706	3.67		keep	baseline
2026-03-11T12:49:48	-0.1090	93	1.23	4.9706	3.67		keep	baseline
2026-03-11T12:54:08	-0.1090	93	1.23	4.9706	3.67		keep	baseline
2026-03-11T12:55:45	-0.1090	93	1.23	4.9706	3.67		keep	baseline
2026-03-11T13:11:30	0.1080	222	1.78	3.2642	5.70	min_down_days=2	keep	min_down_days: None→2 (best of 4)
2026-03-11T13:11:30	-7.5324	39	0.71	1.4451	0.19	min_down_days=4	discard	min_down_days: None→4
2026-03-11T13:11:30	-17.8821	16	0.98	0.8591	-0.03	min_down_days=5	discard	min_down_days: None→5
2026-03-11T13:11:30	-0.1090	93	1.23	4.9706	3.67	min_down_days=3	discard	min_down_days: None→3
2026-03-11T13:30:05	0.4078	524	5.32	5.6703	40.54	ibs_threshold=1.0	keep	ibs_threshold: None→1.0 (best of 4)
2026-03-11T13:30:05	0.1080	222	1.78	3.2642	5.70	ibs_threshold=0.3	discard	ibs_threshold: None→0.3
2026-03-11T13:30:05	0.1095	138	0.95	5.4967	5.72	ibs_threshold=0.2	discard	ibs_threshold: None→0.2
2026-03-11T13:30:05	-0.0569	359	2.88	1.8334	4.10	ibs_threshold=0.5	discard	ibs_threshold: None→0.5
2026-03-11T13:30:13	0.4058	503	4.35	6.9111	37.45	atr_stop_mult=2.5	discard	atr_stop_mult: None→2.5
2026-03-11T13:30:13	0.4126	551	7.56	5.0474	49.55	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5
2026-03-11T13:30:13	0.3993	488	3.33	7.8534	32.30	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0
2026-03-11T13:30:13	0.4078	524	5.32	5.6703	40.54	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0
2026-03-11T13:30:22	0.4080	512	5.31	5.9096	40.60	max_hold_days=10	discard	max_hold_days: None→10
2026-03-11T13:30:22	0.4078	513	5.31	5.7978	40.54	max_hold_days=7	discard	max_hold_days: None→7
2026-03-11T13:30:22	0.4080	548	4.96	5.5034	40.60	max_hold_days=3	discard	max_hold_days: None→3
2026-03-11T13:30:22	0.4078	524	5.32	5.6703	40.54	max_hold_days=5	discard	max_hold_days: None→5
2026-03-11T13:30:30	0.4078	524	5.32	5.6703	40.54	sma200_filter=True	discard	sma200_filter: None→True
2026-03-11T13:30:30	0.4075	666	6.56	4.4180	40.41	sma200_filter=False	discard	sma200_filter: None→False
2026-03-12T00:42:37	0.4008	1219	8.30	2.9828	40.37		keep	baseline
2026-03-12T00:43:16	-3.0369	206	2.81	1.1531	0.36	min_down_days=5	discard	min_down_days: 2→5
2026-03-12T00:43:16	-2.0834	457	3.27	1.0145	0.21	min_down_days=4	discard	min_down_days: 2→4
2026-03-12T00:43:16	0.4136	845	5.31	3.9053	44.20	min_down_days=3	discard	min_down_days: 2→3
2026-03-12T00:43:58	0.0328	470	4.16	1.6874	4.75	ibs_threshold=0.2	discard	ibs_threshold: 1.0→0.2
2026-03-12T00:43:58	-1.6230	666	8.29	0.9851	0.09	ibs_threshold=0.3	discard	ibs_threshold: 1.0→0.3
2026-03-12T00:43:58	-0.1612	1004	5.78	1.2156	3.02	ibs_threshold=0.5	discard	ibs_threshold: 1.0→0.5
2026-03-12T00:44:46	0.3906	1178	5.36	3.6552	30.27	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0
2026-03-12T00:44:46	0.4008	1219	8.30	2.9828	40.37	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0
2026-03-12T00:44:46	0.4055	1260	12.23	2.6616	44.95	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5
2026-03-12T00:44:46	0.3978	1201	7.32	3.3192	34.83	atr_stop_mult=2.5	discard	atr_stop_mult: None→2.5
2026-03-12T00:45:33	0.4008	1219	8.30	2.9828	40.37	max_hold_days=5	discard	max_hold_days: None→5
2026-03-12T00:45:33	0.3982	1277	8.21	2.7959	39.47	max_hold_days=3	discard	max_hold_days: None→3
2026-03-12T00:45:33	0.3989	1198	8.85	2.9689	39.72	max_hold_days=10	discard	max_hold_days: None→10
2026-03-12T00:45:33	0.3993	1203	8.65	2.9808	39.89	max_hold_days=7	discard	max_hold_days: None→7
2026-03-12T01:05:53	0.5775	1388	8.47	5.9187	83.84	sma200_filter=False	keep	sma200_filter: None→False (best of 2)
2026-03-12T01:05:53	0.4008	1219	8.30	2.9828	40.37	sma200_filter=True	discard	sma200_filter: None→True
2026-03-12T07:04:47	0.5743	1379	6.17	4.4556	65.27		keep	baseline
2026-03-12T07:05:36	-3.1535	345	1.94	1.1446	0.43	min_down_days=5	discard	min_down_days: 2→5
2026-03-12T07:05:36	-2.6225	628	3.99	0.9757	-0.05	min_down_days=4	discard	min_down_days: 2→4
2026-03-12T07:05:36	0.5215	1040	4.73	4.6364	56.09	min_down_days=3	discard	min_down_days: 2→3
2026-03-12T07:06:29	0.3502	663	5.05	3.1810	19.62	ibs_threshold=0.2	discard	ibs_threshold: 1.0→0.2
2026-03-12T07:06:29	0.3689	893	7.47	2.5670	21.26	ibs_threshold=0.3	discard	ibs_threshold: 1.0→0.3
2026-03-12T07:06:29	0.3680	1188	6.10	2.2868	21.19	ibs_threshold=0.5	discard	ibs_threshold: 1.0→0.5
2026-03-12T07:07:25	0.5553	1322	5.03	5.0660	47.56	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0
2026-03-12T07:07:25	0.5709	1422	6.75	5.6430	82.43	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5
2026-03-12T07:07:25	0.5743	1379	6.17	4.4556	65.27	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0
2026-03-12T07:07:25	0.5609	1344	6.44	4.6135	56.44	atr_stop_mult=2.5	discard	atr_stop_mult: None→2.5
2026-03-12T07:08:23	0.5736	1440	6.38	4.2051	65.08	max_hold_days=3	discard	max_hold_days: None→3
2026-03-12T07:08:23	0.5726	1349	6.37	4.4508	64.83	max_hold_days=10	discard	max_hold_days: None→10
2026-03-12T07:08:23	0.5728	1356	6.15	4.4730	64.85	max_hold_days=7	discard	max_hold_days: None→7
2026-03-12T07:08:23	0.5743	1379	6.17	4.4556	65.27	max_hold_days=5	discard	max_hold_days: None→5
2026-03-12T07:09:14	0.3908	1202	6.41	3.5567	32.62	sma200_filter=True	discard	sma200_filter: False→True
2026-03-12T13:55:42	0.5741	1375	7.08	4.3977	65.15		keep	baseline
2026-03-12T13:56:27	-3.1320	349	2.47	1.1662	0.48	min_down_days=5	discard	min_down_days: 2→5
2026-03-12T13:56:27	-2.5891	630	3.81	1.0038	0.02	min_down_days=4	discard	min_down_days: 2→4
2026-03-12T13:56:27	0.5216	1043	5.03	4.7016	55.99	min_down_days=3	discard	min_down_days: 2→3
2026-03-12T13:57:17	0.3528	661	4.90	3.2086	19.94	ibs_threshold=0.2	discard	ibs_threshold: 1.0→0.2
2026-03-12T13:57:17	0.3294	893	7.25	2.2072	13.75	ibs_threshold=0.3	discard	ibs_threshold: 1.0→0.3
2026-03-12T13:57:17	0.3729	1196	6.60	2.3282	21.68	ibs_threshold=0.5	discard	ibs_threshold: 1.0→0.5
2026-03-12T13:58:10	0.5712	1424	7.64	5.6552	82.44	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5
2026-03-12T13:58:10	0.5612	1339	7.25	4.5591	56.44	atr_stop_mult=2.5	discard	atr_stop_mult: None→2.5
2026-03-12T13:58:10	0.5552	1314	5.86	5.0005	47.42	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0
2026-03-12T13:58:10	0.5741	1375	7.08	4.3977	65.15	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0
2026-03-12T13:59:04	0.5731	1435	6.84	4.1886	64.84	max_hold_days=3	discard	max_hold_days: None→3
2026-03-12T13:59:04	0.5718	1338	7.49	4.4607	64.49	max_hold_days=10	discard	max_hold_days: None→10
2026-03-12T13:59:04	0.5726	1347	7.59	4.4238	64.69	max_hold_days=7	discard	max_hold_days: None→7
2026-03-12T13:59:04	0.5741	1375	7.08	4.3977	65.15	max_hold_days=5	discard	max_hold_days: None→5
2026-03-12T13:59:51	0.3884	1192	6.37	3.4660	32.09	sma200_filter=True	discard	sma200_filter: False→True
2026-03-13T00:24:36	0.5741	1375	7.08	4.3977	65.15		keep	baseline
2026-03-13T00:25:18	-3.1320	349	2.47	1.1662	0.48	min_down_days=5	discard	min_down_days: 2→5
2026-03-13T00:25:18	-2.5891	630	3.81	1.0038	0.02	min_down_days=4	discard	min_down_days: 2→4
2026-03-13T00:25:18	0.5216	1043	5.03	4.7016	55.99	min_down_days=3	discard	min_down_days: 2→3
2026-03-13T00:26:06	0.3528	661	4.90	3.2086	19.94	ibs_threshold=0.2	discard	ibs_threshold: 1.0→0.2
2026-03-13T00:26:06	0.3294	893	7.25	2.2072	13.75	ibs_threshold=0.3	discard	ibs_threshold: 1.0→0.3
2026-03-13T00:26:06	0.3729	1196	6.60	2.3282	21.68	ibs_threshold=0.5	discard	ibs_threshold: 1.0→0.5
2026-03-13T00:26:57	0.5552	1314	5.86	5.0005	47.42	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0
2026-03-13T00:26:57	0.5712	1424	7.64	5.6552	82.44	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5
2026-03-13T00:26:57	0.5741	1375	7.08	4.3977	65.15	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0
2026-03-13T00:26:57	0.5612	1339	7.25	4.5591	56.44	atr_stop_mult=2.5	discard	atr_stop_mult: None→2.5
2026-03-13T00:27:48	0.5741	1375	7.08	4.3977	65.15	max_hold_days=5	discard	max_hold_days: None→5
2026-03-13T00:27:48	0.5731	1435	6.84	4.1886	64.84	max_hold_days=3	discard	max_hold_days: None→3
2026-03-13T00:27:48	0.5718	1338	7.49	4.4607	64.49	max_hold_days=10	discard	max_hold_days: None→10
2026-03-13T00:27:48	0.5726	1347	7.59	4.4238	64.69	max_hold_days=7	discard	max_hold_days: None→7
2026-03-13T00:28:34	0.3884	1192	6.37	3.4660	32.09	sma200_filter=True	discard	sma200_filter: False→True
2026-03-13T03:25:46	0.5902	1368	4.63	4.9148	69.53		keep	baseline
2026-03-13T03:26:30	-2.5518	346	1.71	1.5246	1.32	min_down_days=5	discard	min_down_days: 2→5
2026-03-13T03:26:30	-1.8700	627	1.68	1.2781	1.39	min_down_days=4	discard	min_down_days: 2→4
