timestamp	sharpe	trades	max_dd_pct	pf	cagr_pct	params_changed	status	description
2026-03-11T11:48:24	-5.4290	11	4.21	0.6721	-0.26		keep	baseline
2026-03-11T12:40:55	-5.4290	11	4.21	0.6721	-0.26		keep	baseline
2026-03-11T12:49:55	-5.4290	11	4.21	0.6721	-0.26		keep	baseline
2026-03-12T01:06:26	-2.5620	57	3.13	1.3326	0.49		keep	baseline
2026-03-12T01:22:43	-3.3762	28	4.46	0.9885	-0.01	setup_bars=13	discard	setup_bars: None→13 (combined-fail)
2026-03-12T01:22:43	-2.5620	57	3.13	1.3326	0.49	setup_bars=9	discard	setup_bars: None→9 (combined-fail)
2026-03-12T01:22:43	-2.0117	57	1.33	2.5776	1.53	setup_bars=7	discard	setup_bars: None→7 (combined-fail)
2026-03-12T07:09:51	-4.0485	48	2.13	1.2405	0.24		keep	baseline
2026-03-12T14:00:27	-3.9907	49	2.35	1.1924	0.21		keep	baseline
2026-03-12T14:17:33	-4.8861	28	3.38	0.8628	-0.08	setup_bars=13	discard	setup_bars: None→13 (combined-fail)
2026-03-12T14:17:33	-3.9907	49	2.35	1.1924	0.21	setup_bars=9	discard	setup_bars: None→9 (combined-fail)
2026-03-12T14:17:33	-3.9670	48	0.94	1.6896	0.57	setup_bars=7	discard	setup_bars: None→7 (combined-fail)
2026-03-12T14:33:54	-3.9907	49	2.35	1.1924	0.21	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0 (combined-fail)
2026-03-12T14:33:54	-2.9777	56	1.70	1.5787	0.66	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5 (combined-fail)
2026-03-12T14:33:54	-7.1618	36	1.49	1.2829	0.15	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0 (combined-fail)
2026-03-12T14:33:54	-5.9484	41	2.00	1.0923	0.07	atr_stop_mult=2.5	discard	atr_stop_mult: None→2.5 (combined-fail)
2026-03-12T14:50:03	-4.4952	50	1.50	1.4676	0.40	max_hold_days=7	discard	max_hold_days: None→7 (combined-fail)
2026-03-12T14:50:03	-3.6150	49	2.56	1.1955	0.23	max_hold_days=15	discard	max_hold_days: None→15 (combined-fail)
2026-03-12T14:50:03	-5.0879	50	1.17	1.4428	0.34	max_hold_days=5	discard	max_hold_days: None→5 (combined-fail)
2026-03-12T14:50:03	-3.9907	49	2.35	1.1924	0.21	max_hold_days=10	discard	max_hold_days: None→10 (combined-fail)
2026-03-12T14:50:37	-8.7106	13	0.89	1.8513	0.19	sma200_filter=True	discard	sma200_filter: None→True
2026-03-12T14:50:37	-3.9907	49	2.35	1.1924	0.21	sma200_filter=False	discard	sma200_filter: None→False
2026-03-13T00:29:07	-3.9907	49	2.35	1.1924	0.21		keep	baseline
2026-03-13T00:44:44	-4.8861	28	3.38	0.8628	-0.08	setup_bars=13	discard	setup_bars: None→13 (combined-fail)
2026-03-13T00:44:44	-3.9907	49	2.35	1.1924	0.21	setup_bars=9	discard	setup_bars: None→9 (combined-fail)
2026-03-13T00:44:44	-3.9670	48	0.94	1.6896	0.57	setup_bars=7	discard	setup_bars: None→7 (combined-fail)
2026-03-13T01:00:14	-7.1618	36	1.49	1.2829	0.15	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0 (combined-fail)
2026-03-13T01:00:14	-3.9907	49	2.35	1.1924	0.21	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0 (combined-fail)
2026-03-13T01:00:14	-2.9777	56	1.70	1.5787	0.66	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5 (combined-fail)
