timestamp	sharpe	trades	max_dd_pct	pf	cagr_pct	params_changed	status	description
2026-03-11T11:44:58	0.3181	91	6.04	5.5054	10.15		keep	baseline
2026-03-11T11:48:29	-0.2441	63	7.10	2.6837	2.94		keep	baseline
2026-03-11T12:40:59	-0.2441	63	7.10	2.6837	2.94		keep	baseline
2026-03-11T12:49:59	-0.2441	63	7.10	2.6837	2.94		keep	baseline
2026-03-12T14:50:58	0.0167	128	2.95	3.2198	4.87		keep	baseline
2026-03-12T15:03:46	-0.0711	120	3.21	2.8692	4.21	entry_period=30	discard	entry_period: None→30 (combined-fail)
2026-03-12T15:03:46	0.3644	113	2.75	5.6630	9.78	entry_period=50	discard	entry_period: None→50 (combined-fail)
2026-03-12T15:03:46	-0.9778	143	3.39	1.7095	1.94	entry_period=10	discard	entry_period: None→10 (combined-fail)
2026-03-12T15:03:46	0.0167	128	2.95	3.2198	4.87	entry_period=20	discard	entry_period: None→20 (combined-fail)
2026-03-13T01:16:45	0.0167	128	2.95	3.2198	4.87		keep	baseline
2026-03-13T01:29:18	0.0167	128	2.95	3.2198	4.87	entry_period=20	discard	entry_period: None→20 (combined-fail)
2026-03-13T01:29:18	0.3644	113	2.75	5.6630	9.78	entry_period=50	discard	entry_period: None→50 (combined-fail)
2026-03-13T01:29:18	-0.9778	143	3.39	1.7095	1.94	entry_period=10	discard	entry_period: None→10 (combined-fail)
2026-03-13T01:29:18	-0.0711	120	3.21	2.8692	4.21	entry_period=30	discard	entry_period: None→30 (combined-fail)
2026-03-13T07:20:48	0.0251	124	3.08	3.3821	4.93		keep	baseline
2026-03-13T07:34:33	0.3532	111	2.72	5.7201	9.59	entry_period=50	discard	entry_period: None→50 (combined-fail)
2026-03-13T07:34:33	-0.0792	117	3.30	2.9372	4.14	entry_period=30	discard	entry_period: None→30 (combined-fail)
2026-03-13T07:34:33	0.0251	124	3.08	3.3821	4.93	entry_period=20	discard	entry_period: None→20 (combined-fail)
2026-03-13T07:34:33	-1.0986	136	2.79	1.5858	1.62	entry_period=10	discard	entry_period: None→10 (combined-fail)
2026-03-13T11:35:19	-0.2614	71	2.81	3.1453	2.98		keep	baseline
2026-03-13T11:59:42	-0.2285	63	1.43	3.7759	3.23	entry_period=50	keep	entry_period: None→50 (best of 4)
2026-03-13T11:59:42	-0.2318	68	1.69	3.6788	3.22	entry_period=30	discard	entry_period: None→30
2026-03-13T11:59:42	-0.2614	71	2.81	3.1453	2.98	entry_period=20	discard	entry_period: None→20
2026-03-13T11:59:42	-4.2404	74	2.05	1.1088	0.29	entry_period=10	discard	entry_period: None→10
