timestamp	sharpe	trades	max_dd_pct	pf	cagr_pct	params_changed	status	description
2026-03-11T11:45:38	0.4161	338	5.28	6.8171	42.33		keep	baseline
2026-03-11T11:48:52	0.4156	249	3.69	8.8005	42.17		keep	baseline
2026-03-11T12:41:38	0.4156	249	3.69	8.8005	42.17		keep	baseline
2026-03-11T12:50:36	0.4156	249	3.69	8.8005	42.17		keep	baseline
2026-03-14T03:14:02	-0.2008	293	3.81	1.8501	3.26		keep	baseline
2026-03-14T03:40:40	-0.1649	338	3.54	1.8298	3.52	band_mult=2.0	keep	band_mult: None→2.0 (best of 4)
2026-03-14T03:40:40	-0.2008	293	3.81	1.8501	3.26	band_mult=2.5	discard	band_mult: None→2.5
2026-03-14T03:40:40	-2.7017	376	5.18	1.1043	0.34	band_mult=1.5	discard	band_mult: None→1.5
2026-03-14T03:40:40	-2.4360	395	5.80	1.1458	0.61	band_mult=1.0	discard	band_mult: None→1.0
2026-03-14T05:33:23	-0.1649	338	3.54	1.8298	3.52		keep	baseline
2026-03-14T05:33:54	-0.2008	293	3.81	1.8501	3.26	band_mult=2.5	discard	band_mult: 2.0→2.5
2026-03-14T05:33:54	-2.7017	376	5.18	1.1043	0.34	band_mult=1.5	discard	band_mult: 2.0→1.5
2026-03-14T05:33:54	-2.4360	395	5.80	1.1458	0.61	band_mult=1.0	discard	band_mult: 2.0→1.0
2026-03-14T06:00:10	0.3856	377	3.11	8.0655	30.11	ibs_threshold=0.5	keep	ibs_threshold: None→0.5 (best of 3)
2026-03-14T06:00:10	0.2012	309	3.40	2.6898	6.90	ibs_threshold=0.2	discard	ibs_threshold: None→0.2
2026-03-14T06:00:10	-0.1649	338	3.54	1.8298	3.52	ibs_threshold=0.3	discard	ibs_threshold: None→0.3
2026-03-14T06:00:41	0.3855	389	3.19	7.9405	30.06	range_lookback=20	discard	range_lookback: None→20
2026-03-14T06:00:41	0.3862	394	5.64	8.6617	30.16	range_lookback=10	discard	range_lookback: None→10
2026-03-14T06:00:41	0.3861	391	5.70	7.7214	30.17	range_lookback=15	discard	range_lookback: None→15
2026-03-14T06:00:41	0.3856	377	3.11	8.0655	30.11	range_lookback=25	discard	range_lookback: None→25
2026-03-14T06:01:14	0.3856	377	3.11	8.0655	30.11	max_hold_days=7	discard	max_hold_days: None→7
2026-03-14T06:01:14	0.3846	408	4.38	7.7387	29.91	max_hold_days=5	discard	max_hold_days: None→5
2026-03-14T06:01:14	0.3879	357	2.87	9.0070	30.48	max_hold_days=10	discard	max_hold_days: None→10
2026-03-14T06:01:14	-2.2500	459	2.92	1.2521	1.16	max_hold_days=3	discard	max_hold_days: None→3
2026-03-14T06:28:39	0.3966	363	1.77	9.1192	28.84	atr_stop_mult=2.5	keep	atr_stop_mult: None→2.5 (best of 4)
2026-03-14T06:28:39	0.3856	377	3.11	8.0655	30.11	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0
2026-03-14T06:28:39	0.3867	352	1.95	10.0293	25.26	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0
2026-03-14T06:28:39	0.0107	413	2.86	1.6612	4.67	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5
2026-03-14T06:29:17	0.3966	363	1.77	9.1192	28.84	sma200_filter=True	discard	sma200_filter: None→True
2026-03-14T06:29:17	0.3956	402	2.19	7.8114	29.22	sma200_filter=False	discard	sma200_filter: None→False
2026-03-14T10:11:05	0.3966	363	1.77	9.1192	28.84		keep	baseline
2026-03-14T10:11:43	0.3745	307	2.82	9.1698	25.80	band_mult=2.5	discard	band_mult: 2.0→2.5
2026-03-14T10:11:43	0.3969	386	3.28	8.9772	29.41	band_mult=1.5	discard	band_mult: 2.0→1.5
2026-03-14T10:11:43	0.2794	422	2.99	3.0309	8.30	band_mult=1.0	discard	band_mult: 2.0→1.0
2026-03-14T10:12:13	0.3913	292	3.88	9.2089	28.03	ibs_threshold=0.2	discard	ibs_threshold: 0.5→0.2
2026-03-14T10:12:13	0.3945	323	3.12	9.6106	28.50	ibs_threshold=0.3	discard	ibs_threshold: 0.5→0.3
2026-03-14T10:12:46	0.3933	366	4.55	8.5284	28.34	range_lookback=15	discard	range_lookback: None→15
2026-03-14T10:12:46	0.3966	363	1.77	9.1192	28.84	range_lookback=25	discard	range_lookback: None→25
2026-03-14T10:12:46	0.3745	363	4.88	9.4888	25.81	range_lookback=10	discard	range_lookback: None→10
2026-03-14T10:12:46	0.3939	371	2.83	8.7411	28.40	range_lookback=20	discard	range_lookback: None→20
2026-03-14T10:13:20	0.3746	392	3.01	8.1794	25.78	max_hold_days=5	discard	max_hold_days: None→5
2026-03-14T10:13:20	0.4003	338	1.99	10.3738	29.34	max_hold_days=10	discard	max_hold_days: None→10
2026-03-14T10:13:20	0.3966	363	1.77	9.1192	28.84	max_hold_days=7	discard	max_hold_days: None→7
2026-03-14T10:13:20	-3.2305	429	3.01	1.2044	0.60	max_hold_days=3	discard	max_hold_days: None→3
2026-03-14T10:13:53	0.3856	377	3.11	8.0655	30.11	atr_stop_mult=2.0	discard	atr_stop_mult: 2.5→2.0
2026-03-14T10:13:53	0.3867	352	1.95	10.0293	25.26	atr_stop_mult=3.0	discard	atr_stop_mult: 2.5→3.0
2026-03-14T10:13:53	0.0107	413	2.86	1.6612	4.67	atr_stop_mult=1.5	discard	atr_stop_mult: 2.5→1.5
2026-03-14T23:13:26	0.3966	363	1.77	9.1192	28.84		keep	baseline
2026-03-14T23:14:02	0.3745	307	2.82	9.1698	25.80	band_mult=2.5	discard	band_mult: 2.0→2.5
2026-03-14T23:14:02	0.3969	386	3.28	8.9772	29.41	band_mult=1.5	discard	band_mult: 2.0→1.5
