timestamp	sharpe	trades	max_dd_pct	pf	cagr_pct	params_changed	status	description
2026-03-10T16:14:03	0.3976	585	6.37	3.5373	42.08		keep	baseline
2026-03-10T16:16:31	0.4194	329	8.26	9.0619	49.53	rsi_period=4	discard	rsi_period: None→4
2026-03-10T16:16:31	0.4213	298	8.61	11.0858	50.32	rsi_period=5	discard	rsi_period: None→5
2026-03-10T16:16:31	0.3982	412	6.12	5.3217	42.40	rsi_period=3	discard	rsi_period: None→3
2026-03-10T16:16:31	0.3976	585	6.37	3.5373	42.08	rsi_period=2	discard	rsi_period: None→2
2026-03-10T16:19:09	0.5091	728	6.74	6.1706	76.50	rsi_oversold=20	keep	rsi_oversold: None→20 (best of 4)
2026-03-10T16:19:09	0.3976	585	6.37	3.5373	42.08	rsi_oversold=10	discard	rsi_oversold: None→10
2026-03-10T16:19:09	0.4135	665	8.09	3.3147	47.32	rsi_oversold=15	discard	rsi_oversold: None→15
2026-03-10T16:19:09	0.5082	754	7.45	5.7484	75.93	rsi_oversold=25	discard	rsi_oversold: None→25
2026-03-10T16:21:52	0.5091	728	6.74	6.1706	76.50	max_hold_days=5	discard	max_hold_days: None→5
2026-03-10T16:21:52	0.4190	665	6.23	3.5137	49.54	max_hold_days=7	discard	max_hold_days: None→7
2026-03-10T16:21:52	0.3790	853	7.72	1.5966	11.57	max_hold_days=2	discard	max_hold_days: None→2
2026-03-10T16:21:52	0.3417	790	8.25	1.5530	10.70	max_hold_days=3	discard	max_hold_days: None→3
2026-03-10T16:24:30	0.4785	671	4.53	4.7599	48.58	atr_stop_mult=2.5	discard	atr_stop_mult: None→2.5
2026-03-10T16:24:30	0.4822	685	5.54	4.3519	56.01	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0
2026-03-10T16:24:30	0.5091	728	6.74	6.1706	76.50	atr_stop_mult=1.5	discard	atr_stop_mult: None→1.5
2026-03-10T16:58:33	0.5091	728	6.74	6.1706	76.50		keep	baseline
2026-03-10T17:02:11	0.5091	728	6.74	6.1706	76.50		keep	baseline
2026-03-10T17:05:27	0.5091	728	6.74	6.1706	76.50		keep	baseline
2026-03-10T17:07:58	0.4131	555	8.20	3.6104	47.22	rsi_period=3	discard	RSI period 3: slightly smoother signal
2026-03-10T17:10:32	0.4182	441	7.23	5.9169	49.08	rsi_period=4	discard	RSI period 4: mid-ground between 2 and 7
2026-03-10T17:13:11	0.5071	768	8.37	5.8548	75.60	profit_target_atr_mult=0.5	discard	Tighter profit target 0.5x ATR: faster exits
2026-03-10T17:15:48	0.5083	743	7.79	6.0068	76.18	profit_target_atr_mult=0.75	discard	Profit target 0.75x ATR: between default and tight
2026-03-10T17:18:26	0.5089	718	6.84	6.1224	76.43	profit_target_atr_mult=1.5	discard	Wider profit target 1.5x ATR: let winners run
2026-03-10T17:21:05	0.5089	716	6.84	6.2104	76.39	profit_target_atr_mult=2.0	discard	Wide profit target 2.0x ATR: big moves only
2026-03-10T17:23:47	0.5108	786	5.64	6.0726	76.80	sma_period=3	discard	Shorter SMA 3: tighter mean-reversion anchor
2026-03-10T17:26:24	0.5231	690	7.52	7.1558	82.92	sma_period=7	discard	Longer SMA 7: more room for entries
2026-03-10T17:29:00	0.5221	681	5.81	7.2075	82.39	sma_period=10	discard	SMA 10: much wider mean-reversion band
2026-03-10T17:31:41	0.5078	783	6.41	5.9980	75.82	rsi_overbought_exit=50	discard	Lower overbought exit 50: take profits earlier
2026-03-10T17:34:18	0.5077	738	6.47	6.0487	75.80	rsi_overbought_exit=60	discard	Overbought exit 60: moderate early exit
2026-03-10T17:36:58	0.5117	723	6.70	6.2878	77.66	rsi_overbought_exit=80	discard	Higher overbought exit 80: let bounce play out
2026-03-10T17:39:31	0.4860	616	11.65	2.3144	30.67	ibs_oversold=0.1	discard	Tighter IBS 0.1: only extreme candles
2026-03-10T17:42:13	0.5084	767	7.39	5.5817	76.08	ibs_oversold=0.3	discard	Wider IBS 0.3: more IBS-triggered entries
2026-03-10T17:44:48	0.0646	676	10.12	1.2372	5.05	ibs_oversold=0.15	discard	IBS 0.15: between default and tight
2026-03-10T17:47:27	0.5269	723	7.12	5.2268	70.24	atr_period=7	discard	Shorter ATR 7: faster-reacting stops
2026-03-10T17:50:04	0.5172	724	6.74	5.7977	73.69	atr_period=10	discard	ATR 10: between 7 and 14
2026-03-10T17:52:43	0.5007	733	6.43	6.5750	79.15	atr_period=21	discard	Longer ATR 21: smoother volatility estimate
2026-03-10T17:55:16	0.4125	706	8.56	3.1625	46.97	rsi_oversold=18	discard	RSI oversold 18: between sweep points 15 and 20
2026-03-10T17:57:54	0.5103	735	6.76	6.3256	77.15	rsi_oversold=22	discard	RSI oversold 22: between sweep points 20 and 25
2026-03-10T18:00:34	0.5082	754	7.45	5.7484	75.93	rsi_oversold=25	discard	RSI oversold 25: wider entry threshold (re-test with current best)
2026-03-10T18:03:19	0.4168	754	7.03	3.1416	48.68	max_hold_days=4	discard	Max hold 4: between sweep points 3 and 5
2026-03-10T18:05:58	0.4214	683	5.37	3.5731	50.52	max_hold_days=6	discard	Max hold 6: between sweep points 5 and 7
2026-03-10T18:08:32	0.1059	292	4.34	1.8473	5.69	ibs_oversold=0.0	discard	Disable IBS filter entirely (RSI-only entries)
2026-03-10T18:11:09	0.1076	330	4.59	1.7616	5.71	rsi_oversold=30, ibs_oversold=0.0	discard	RSI-only with loose threshold 30
2026-03-10T18:13:49	0.3938	607	11.40	3.4819	40.64	rsi_oversold=5, ibs_oversold=0.5	discard	Extreme RSI=5 + wide IBS=0.5: IBS-driven
2026-03-10T18:16:28	0.5053	773	6.05	5.3064	74.89	earnings_blackout={'enabled': False}	discard	Disable earnings blackout entirely
2026-03-10T18:19:04	0.4242	681	7.24	1.9426	25.22	volume={'min_ratio': 0.0, 'surge_threshold': 99.0}	discard	Effectively disable volume filters
2026-03-10T20:17:12	0.5091	728	6.74	6.1706	76.50		keep	baseline
2026-03-10T20:19:44	0.4182	441	7.23	5.9169	49.08	rsi_period=4	discard	rsi_period: None→4
2026-03-10T20:19:44	0.4209	382	7.12	6.9896	50.16	rsi_period=5	discard	rsi_period: None→5
2026-03-10T20:19:44	0.4131	555	8.20	3.6104	47.22	rsi_period=3	discard	rsi_period: None→3
2026-03-10T20:19:44	0.5091	728	6.74	6.1706	76.50	rsi_period=2	discard	rsi_period: None→2
2026-03-10T20:22:15	0.3976	585	6.37	3.5373	42.08	rsi_oversold=10	discard	rsi_oversold: 20→10
2026-03-10T20:22:15	0.4135	665	8.09	3.3147	47.32	rsi_oversold=15	discard	rsi_oversold: 20→15
