timestamp	sharpe	trades	max_dd_pct	pf	cagr_pct	params_changed	status	description
2026-03-11T11:45:22	0.0810	190	5.31	2.0402	5.35		keep	baseline
2026-03-11T11:48:41	0.0093	132	5.75	2.2429	4.46		keep	baseline
2026-03-11T12:41:14	0.0093	132	5.75	2.2429	4.46		keep	baseline
2026-03-11T12:50:13	0.0093	132	5.75	2.2429	4.46		keep	baseline
2026-03-13T14:29:26	-3.3647	156	5.85	0.9929	-0.19		keep	baseline
2026-03-13T14:57:47	-2.4969	168	3.37	1.2727	1.06	wr_period=10	keep	wr_period: None→10 (best of 3)
2026-03-13T14:57:47	-3.3647	156	5.85	0.9929	-0.19	wr_period=14	discard	wr_period: None→14
2026-03-13T14:57:47	-3.3987	136	3.61	0.9927	-0.19	wr_period=21	discard	wr_period: None→21
2026-03-13T14:58:20	0.0000	0	0.00	0.0000	0.00	wr_entry=-95	discard	wr_entry: None→-95
2026-03-13T14:58:20	-13.8593	8	0.68	4.1303	0.24	wr_entry=-90	discard	wr_entry: None→-90
2026-03-13T14:58:20	-3.7845	126	4.39	0.9332	-0.06	wr_entry=-85	discard	wr_entry: None→-85
2026-03-13T14:58:20	-2.4969	168	3.37	1.2727	1.06	wr_entry=-80	discard	wr_entry: None→-80
2026-03-13T23:41:20	-2.4969	168	3.37	1.2727	1.06		keep	baseline
2026-03-13T23:41:52	-3.3987	136	3.61	0.9927	-0.19	wr_period=21	discard	wr_period: 10→21
2026-03-13T23:41:52	-3.3647	156	5.85	0.9929	-0.19	wr_period=14	discard	wr_period: 10→14
2026-03-13T23:42:25	0.0000	0	0.00	0.0000	0.00	wr_entry=-95	discard	wr_entry: None→-95
2026-03-13T23:42:25	-13.8593	8	0.68	4.1303	0.24	wr_entry=-90	discard	wr_entry: None→-90
2026-03-13T23:42:25	-3.7845	126	4.39	0.9332	-0.06	wr_entry=-85	discard	wr_entry: None→-85
2026-03-13T23:42:25	-2.4969	168	3.37	1.2727	1.06	wr_entry=-80	discard	wr_entry: None→-80
2026-03-14T00:11:12	-2.0282	178	4.89	1.0879	0.71	atr_stop_mult=1.5	keep	atr_stop_mult: None→1.5 (best of 4)
2026-03-14T00:11:12	-4.1395	151	2.82	1.2768	0.67	atr_stop_mult=3.0	discard	atr_stop_mult: None→3.0
2026-03-14T00:11:12	-3.4621	156	2.88	1.4392	0.78	atr_stop_mult=2.5	discard	atr_stop_mult: None→2.5
2026-03-14T00:11:12	-2.4969	168	3.37	1.2727	1.06	atr_stop_mult=2.0	discard	atr_stop_mult: None→2.0
2026-03-14T00:39:39	-1.6028	214	3.89	1.4077	1.64	max_hold_days=7	keep	max_hold_days: None→7 (best of 4)
2026-03-14T00:39:39	-1.9044	255	5.71	1.1425	1.00	max_hold_days=5	discard	max_hold_days: None→5
2026-03-14T00:39:39	-1.9347	156	4.35	1.3167	1.00	max_hold_days=15	discard	max_hold_days: None→15
2026-03-14T00:39:39	-2.0282	178	4.89	1.0879	0.71	max_hold_days=10	discard	max_hold_days: None→10
2026-03-14T02:42:05	-1.6028	214	3.89	1.4077	1.64		keep	baseline
2026-03-14T02:42:39	-2.1398	185	6.03	1.2186	0.65	wr_period=21	discard	wr_period: 10→21
2026-03-14T02:42:39	-2.0323	205	6.65	1.2461	0.83	wr_period=14	discard	wr_period: 10→14
2026-03-14T02:43:14	0.0000	0	0.00	0.0000	0.00	wr_entry=-95	discard	wr_entry: None→-95
2026-03-14T02:43:14	-10.3521	9	0.47	10.3978	0.41	wr_entry=-90	discard	wr_entry: None→-90
2026-03-14T02:43:14	-1.8461	158	2.20	1.4251	1.59	wr_entry=-85	discard	wr_entry: None→-85
2026-03-14T02:43:14	-1.6028	214	3.89	1.4077	1.64	wr_entry=-80	discard	wr_entry: None→-80
2026-03-14T02:43:47	-4.5033	179	2.73	1.0867	0.33	atr_stop_mult=3.0	discard	atr_stop_mult: 1.5→3.0
2026-03-14T02:43:47	-3.4187	191	2.15	1.3260	0.90	atr_stop_mult=2.5	discard	atr_stop_mult: 1.5→2.5
2026-03-14T02:43:47	-2.1821	200	2.57	1.6380	1.57	atr_stop_mult=2.0	discard	atr_stop_mult: 1.5→2.0
2026-03-14T02:44:23	-1.9044	255	5.71	1.1425	1.00	max_hold_days=5	discard	max_hold_days: 7→5
2026-03-14T02:44:23	-2.0282	178	4.89	1.0879	0.71	max_hold_days=10	discard	max_hold_days: 7→10
2026-03-14T02:44:23	-1.9347	156	4.35	1.3167	1.00	max_hold_days=15	discard	max_hold_days: 7→15
2026-03-14T03:13:33	-1.1208	254	3.45	1.5256	2.45	sma200_filter=False	keep	sma200_filter: None→False (best of 2)
2026-03-14T03:13:33	-1.6028	214	3.89	1.4077	1.64	sma200_filter=True	discard	sma200_filter: None→True
2026-03-14T05:02:25	-1.1208	254	3.45	1.5256	2.45		keep	baseline
2026-03-14T05:30:36	0.1968	228	3.85	2.4610	6.92	wr_period=21	keep	wr_period: 10→21 (best of 2)
2026-03-14T05:30:36	-1.3465	241	4.17	1.4298	1.88	wr_period=14	discard	wr_period: 10→14
2026-03-14T05:31:12	0.0000	0	0.00	0.0000	0.00	wr_entry=-95	discard	wr_entry: None→-95
2026-03-14T05:31:12	-7.6264	19	1.73	1.1034	0.04	wr_entry=-90	discard	wr_entry: None→-90
2026-03-14T05:31:12	0.0859	196	4.52	2.1346	5.42	wr_entry=-85	discard	wr_entry: None→-85
2026-03-14T05:31:12	0.1968	228	3.85	2.4610	6.92	wr_entry=-80	discard	wr_entry: None→-80
2026-03-14T05:31:47	-0.2860	201	1.75	2.3955	2.96	atr_stop_mult=3.0	discard	atr_stop_mult: 1.5→3.0
2026-03-14T05:31:47	-0.1576	208	3.01	2.1682	3.46	atr_stop_mult=2.5	discard	atr_stop_mult: 1.5→2.5
2026-03-14T05:31:47	0.0430	213	3.49	2.6135	4.99	atr_stop_mult=2.0	discard	atr_stop_mult: 1.5→2.0
2026-03-14T05:32:23	0.0599	285	4.72	1.7462	5.07	max_hold_days=5	discard	max_hold_days: 7→5
2026-03-14T05:32:23	-1.1455	149	5.12	1.6645	2.30	max_hold_days=15	discard	max_hold_days: 7→15
2026-03-14T05:32:23	-1.4921	184	5.20	1.3342	1.47	max_hold_days=10	discard	max_hold_days: 7→10
2026-03-14T05:32:54	-2.1398	185	6.03	1.2186	0.65	sma200_filter=True	discard	sma200_filter: False→True
2026-03-14T10:07:05	0.1968	228	3.85	2.4610	6.92		keep	baseline
2026-03-14T10:07:46	-1.1208	254	3.45	1.5256	2.45	wr_period=10	discard	wr_period: 21→10
2026-03-14T10:07:46	-1.3465	241	4.17	1.4298	1.88	wr_period=14	discard	wr_period: 21→14
2026-03-14T10:08:30	0.0000	0	0.00	0.0000	0.00	wr_entry=-95	discard	wr_entry: None→-95
2026-03-14T10:08:30	-7.6264	19	1.73	1.1034	0.04	wr_entry=-90	discard	wr_entry: None→-90
2026-03-14T10:08:30	0.1968	228	3.85	2.4610	6.92	wr_entry=-80	discard	wr_entry: None→-80
2026-03-14T10:08:30	0.0859	196	4.52	2.1346	5.42	wr_entry=-85	discard	wr_entry: None→-85
2026-03-14T10:09:15	-0.1576	208	3.01	2.1682	3.46	atr_stop_mult=2.5	discard	atr_stop_mult: 1.5→2.5
2026-03-14T10:09:15	-0.2860	201	1.75	2.3955	2.96	atr_stop_mult=3.0	discard	atr_stop_mult: 1.5→3.0
2026-03-14T10:09:15	0.0430	213	3.49	2.6135	4.99	atr_stop_mult=2.0	discard	atr_stop_mult: 1.5→2.0
2026-03-14T10:09:57	-1.4921	184	5.20	1.3342	1.47	max_hold_days=10	discard	max_hold_days: 7→10
2026-03-14T10:09:57	-1.1455	149	5.12	1.6645	2.30	max_hold_days=15	discard	max_hold_days: 7→15
2026-03-14T10:09:57	0.0599	285	4.72	1.7462	5.07	max_hold_days=5	discard	max_hold_days: 7→5
2026-03-14T10:10:32	-2.1398	185	6.03	1.2186	0.65	sma200_filter=True	discard	sma200_filter: False→True
2026-03-14T23:09:58	0.1968	228	3.85	2.4610	6.92		keep	baseline
2026-03-14T23:10:35	-1.3563	241	4.18	1.4271	1.87	wr_period=14	discard	wr_period: 21→14
2026-03-14T23:10:35	-1.1208	254	3.45	1.5256	2.45	wr_period=10	discard	wr_period: 21→10
2026-03-14T23:11:12	0.0000	0	0.00	0.0000	0.00	wr_entry=-95	discard	wr_entry: None→-95
2026-03-14T23:11:12	-7.6264	19	1.73	1.1034	0.04	wr_entry=-90	discard	wr_entry: None→-90
